order_count_180d,revenue_180d,payment_value_180d,freight_value_180d,item_count_180d,avg_payment_type_count_180d,avg_installments_180d,avg_review_score_180d,review_count_180d,avg_delivery_delay_180d,late_delivery_rate_180d,unique_products_180d,unique_categories_180d,unique_sellers_180d,recency_days,customer_lifetime_days,avg_order_value_180d,orders_per_month_180d,revenue_per_month_180d
0.73213685,0.004740104,0.19446966,-0.13398789,0.20954554,0.0012677184,0.045615956,0.06127792,0.012116934,0.07448122,0.0,0.01473905,0.0003105728,0.0023106756,0.021743292,0.04146282,-0.0276071,0.003728806,0.0057303715
0.73712176,0.009674145,0.29024866,0.018149285,0.20956518,0.0019352428,-0.05351033,0.018933738,0.010745197,-0.022002963,0.0,0.015630905,0.0004528882,0.0023106756,0.091671,0.056624386,-0.0377346,0.003728806,0.005556188
0.7302201,-0.001739771,0.3424339,0.0030775971,0.1604613,0.0019352428,0.042383276,-0.0074473238,0.010787138,0.0039123227,0.0,-0.1366984,0.0003105728,0.0023106756,-0.053483777,0.039932057,-0.010200657,0.003728806,0.00562612
0.74288166,0.023863828,0.27363175,0.01068682,0.21226622,0.0019352428,0.02501473,0.023210665,0.011820495,0.15841904,0.0,0.013233081,0.0010086538,0.0025083534,0.030772468,0.043692857,-0.01913723,0.0037668971,0.009389181
0.737861,0.008754175,0.32428902,0.01834164,0.21019267,0.0019352428,0.019958729,0.0024329163,0.010787138,-0.0062681464,0.0,0.018655019,0.0003105728,0.0023106756,-0.030170845,0.0420682,-0.015705995,0.003728806,0.0032274977
0.7444181,0.01580095,0.26933524,0.0891789,0.20705995,0.0012677184,0.03893685,0.14717194,0.012234115,0.013996978,0.0,0.015643349,0.0003105728,0.0023106756,0.1265029,0.044795368,-0.028090639,0.003728806,0.009983432
0.7424904,0.015551207,0.3638736,0.079739384,0.20697227,0.0012677184,0.03446298,0.14367078,0.010787138,-0.029169368,0.0,0.0189237,0.0003105728,0.0023106756,-0.029282004,0.035146054,-0.023342859,0.003728806,0.007817434
0.7420534,0.017852742,0.3683701,0.039731964,0.20706405,0.0019352428,0.03310128,0.10041045,0.012234115,-0.069136,0.0,0.018168028,0.0003105728,0.0023106756,0.040354393,0.048063133,-0.023607444,0.003728806,0.008177183
0.7406683,0.01107086,0.36006376,0.019689133,0.21152285,0.0019352428,-0.052335776,0.01743949,0.010331577,0.15532637,0.0,0.018987274,0.0011509692,0.0025083534,-0.03233644,0.047384646,-0.034461677,0.0037668971,0.006472384
0.74227446,0.017772827,0.29267412,-0.006913034,0.20646892,0.0019352428,-0.005699865,0.15450431,0.012234115,-0.042390205,0.0,0.013169506,0.0004528882,0.0023106756,0.10288496,0.050945774,-0.019729786,0.003728806,0.0084913885
0.73400897,0.004566783,0.27506825,-0.19393303,0.20339395,0.0012677184,0.018562227,0.11912744,0.010787138,-0.039121237,0.0,0.0147506185,0.0004528882,0.0023106756,0.13282618,0.04731185,-0.030465644,0.003728806,0.0074626105
0.74045664,0.014890969,0.27317807,-0.004583116,0.21160932,0.0019352428,0.033766072,0.012269967,0.012234115,0.0005797181,0.0,0.01563178,0.0003105728,0.0023106756,0.11923356,0.03350995,-0.027977556,0.003728806,0.009983432
0.7402877,0.076115996,0.2610789,0.08840753,0.21063429,0.0010311541,0.0475453,0.010853152,0.010787138,0.019714711,0.0,0.018590864,0.0004742217,0.0023106756,-0.018890051,0.06169612,0.053606566,0.003728806,0.0032274977
0.735127,0.03012426,0.34121442,-0.31430754,0.20464681,0.0019352428,-0.0724602,0.11250267,0.015656909,-0.045631487,0.0,0.015144671,0.0004528882,0.0020030593,0.115213215,0.059986737,-0.02173334,0.003728806,0.0084913885
0.74325,0.018793426,0.3737723,0.011867404,0.21238767,0.001698816,0.035791256,0.021082576,0.010373518,0.17510003,0.0,0.018987274,0.0010086538,0.0025083534,-0.037838195,0.0022760085,-0.015001276,0.0037668971,0.008914189
0.7458889,0.10463072,0.32338488,0.022958238,0.20671968,0.0019352428,0.047817282,0.13874073,0.010373518,0.11054528,0.0,0.018833125,0.0010086538,0.0025083534,-0.023486763,0.037151847,0.0475737,0.0037668971,0.001151032
0.74134177,0.013731761,0.16758673,0.08184096,0.20662753,0.0012677184,-0.002635196,0.15896448,0.010787138,-0.012060032,0.0,0.015477631,0.0004528882,0.0023106756,0.031455595,0.039539803,-0.022315659,0.003728806,0.0032274977
0.7391637,0.017775573,0.26448745,-0.0070709228,0.21155885,0.0019352428,0.03602843,0.016589763,0.010787138,0.008867991,0.0,0.01563178,0.0003105728,0.0023106756,0.12222786,0.034955822,-0.03465402,0.003728806,0.0075366204
0.73971593,0.016131744,0.37037712,0.012232151,0.21156518,0.001698816,0.03164714,0.0077342833,0.010787138,0.004866237,0.0,0.018912131,0.023030533,0.0023106756,-0.02128331,0.031898316,-0.01963405,0.003728806,0.008809938
0.7419302,0.014176698,0.29484513,0.022256467,0.20706886,0.0019352428,0.0359841,0.1564435,0.012234115,-0.09095097,0.0,0.015643349,0.0003105728,0.0023106756,0.08368787,0.0509437,-0.023925588,0.003728806,0.008177183
-2.9005175,0.026389906,-1.9676,-0.2608825,-0.7572791,0.0006171459,0.017744955,-0.016379837,-0.0036972817,-0.106953956,0.0,-0.07823802,0.010678915,0.0010382172,-0.08555955,-0.023438225,0.014659411,0.0015980968,0.0013311792
0.7441265,-0.022774855,0.29083103,0.022771943,0.22177154,0.0019352428,-0.09632571,0.15818915,0.01654085,-0.10193844,0.0,0.016949711,0.00053160527,0.0027907812,0.11173946,0.056146428,0.35398665,0.005001896,-0.011710542
0.7447641,-0.05106432,0.3497396,0.02860167,0.15882652,0.001698816,-0.0415961,0.16597569,0.01612723,0.052268922,0.0,0.018330043,0.0011509692,0.002988459,0.0013824088,0.03061423,0.21770702,0.004938695,-0.006504507
0.73762536,0.009576085,0.3772734,0.062486153,0.20979126,0.0010312916,0.011624318,0.017926844,0.010787138,-0.03196002,0.0,0.018592779,0.0004528882,0.0023106756,-0.045316365,0.020493202,-0.019309025,0.003728806,0.00562612
0.7409189,0.0012009973,0.36022985,0.04632226,0.20630309,0.0012677184,-0.108504355,0.076972485,0.012192174,-0.07844781,0.0,0.01661688,0.0004528882,0.0023106756,0.14209962,0.063839465,-0.032470774,0.003728806,0.007615425
