colsample_bytree,learning_rate,max_depth,n_estimators,subsample,pr_auc,roc_auc
0.8,0.03,3,200,0.8,0.992599141777027,0.906689497371373
0.8,0.08,3,200,0.8,0.9923488557302849,0.9046664321264046
0.8,0.03,5,200,0.8,0.9922389940624986,0.9046699564497295
0.8,0.03,3,400,0.8,0.9922369014437028,0.9032960231881126
0.8,0.08,5,200,0.8,0.9920702634966987,0.9024958290324496
0.8,0.03,5,400,0.8,0.9919745457736862,0.9010206924079096
0.8,0.08,3,400,0.8,0.991773594422694,0.9005212059571017
0.8,0.08,5,400,0.8,0.9915598031311742,0.898275693716401
