threshold,precision,recall,f1
0.2,0.9895124094003953,1.0,0.9947285623602793
0.25,0.9896731667124417,0.9997780367349204,0.9946999392701374
0.15000000000000002,0.9894037553530252,1.0,0.9946736580654064
0.1,0.9893494372769696,1.0,0.9946462081907496
0.05,0.9893494372769696,1.0,0.9946462081907496
0.3,0.9897224512228634,0.9992786193884912,0.9944775789706207
0.35000000000000003,0.989818942270651,0.9980578214305532,0.993921308576481
0.4,0.9898538737248415,0.9961156428611064,0.9929748866025003
0.45,0.9901554117581992,0.9934520836801509,0.9918010082543903
0.5,0.9903376277210129,0.9896232173575273,0.9899802936523356
0.55,0.9906260462002009,0.9851839520559348,0.987897504381938
0.6000000000000001,0.990812324929972,0.9814105765495811,0.9860890412868334
0.6500000000000001,0.9908251716762355,0.9768048387991788,0.9837650543493447
0.7000000000000001,0.9908267270668176,0.9709783030908384,0.9808021075642499
0.7500000000000001,0.9908166801432366,0.9519449531102603,0.9709919343427197
0.8,0.9918147629230882,0.7463514788302535,0.8517509974035843
0.8500000000000001,0.9964080459770115,0.07696576216636147,0.1428939370524906
0.9000000000000001,1.0,0.00022196326507962932,0.00044382801664355064
0.9500000000000001,0.0,0.0,0.0
